Source,Target,Type,Id,Label,Weight,tipo,label 2
31,34,Undirected,0,,1,,K23
34,35,Undirected,1,,1,,K16
35,36,Undirected,2,,1,,K16
36,37,Undirected,3,,1,,K10
37,38,Undirected,4,,1,,K10
38,39,Undirected,5,,1,,K43
39,40,Undirected,6,,1,,K16
40,42,Undirected,7,,1,,K86
42,55,Undirected,8,,1,,K86
31,32,Undirected,9,,1,,K16
32,34,Undirected,10,,1,,K16
37,39,Undirected,14,,1,,K16
40,41,Undirected,16,,1,,K54
41,42,Undirected,17,,1,,K23
42,109,Undirected,18,,1,,K54
109,106,Undirected,19,,1,,K54
106,103,Undirected,20,,1,,K54
103,99,Undirected,21,,1,,K54
99,98,Undirected,22,,1,,K54
32,33,Undirected,24,,1,,K43
33,35,Undirected,25,,1,,K43
36,38,Undirected,27,,1,,K43
40,95,Undirected,30,,1,,K43
95,97,Undirected,31,,1,,K43
97,67,Undirected,32,,1,,K43
67,65,Undirected,33,,1,,K43
65,59,Undirected,34,,1,,K43
59,58,Undirected,35,,1,,K43
58,57,Undirected,36,,1,,K43
57,56,Undirected,37,,1,,K43
38,41,Undirected,43,,1,,K10
42,136,Undirected,45,,1,,K23
136,139,Undirected,46,,1,,K23
139,140,Undirected,47,,1,,K23
140,141,Undirected,48,,1,,K23
141,29,Undirected,49,,1,,K23
29,24,Undirected,50,,1,,K23
24,23,Undirected,51,,1,,K23
23,22,Undirected,52,,1,,K23
40,94,Undirected,60,,1,,K16
94,89,Undirected,61,,1,,K16
89,25,Undirected,62,,1,,K16
25,22,Undirected,63,,1,,K16
22,17,Undirected,64,,1,,K16
17,15,Undirected,65,,1,,K16
31,31,Undirected,66,,1,,K10
32,32,Undirected,67,,1,,K10
33,36,Undirected,68,,1,,K10
41,43,Undirected,72,,1,,K10
43,135,Undirected,73,,1,,K10
135,150,Undirected,74,,1,,K10
150,153,Undirected,75,,1,,K10
153,51,Undirected,76,,1,,K10
51,50,Undirected,77,,1,,K10
50,48,Undirected,78,,1,,K10
48,47,Undirected,79,,1,,K10
47,45,Undirected,80,,1,,K10
